n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
10000, 1000000, 10000, RR, 0.021, 57.428, 1354.982, 3263.401, 62.843, 73.193, 
10000, 1000000, 10000, FCFS, 0.020, 14.811, 14.895, 10215.047, 10215.052, 10216.759, 
10000, 1000000, 100000, RR, 0.016, 20.192, 1277.072, 3270.178, 54.547, 65.562, 
10000, 1000000, 100000, FCFS, 0.024, 44.910, 44.913, 11196.954, 11196.957, 11219.029, 
10000, 1000000, 1000000, RR, 0.017, 35.843, 1452.965, 3552.792, 270.749, 405.725, 
10000, 1000000, 1000000, FCFS, 0.024, 23.743, 23.749, 10341.062, 10341.065, 10481.953, 
100000, 10, 10, RR, 0.014, 28.293, 28.303, 42.072, 42.078, 47.425, 
100000, 10, 10, FCFS, 0.070, 19.173, 19.181, 19.490, 19.538, 26.164, 
100000, 10, 100, RR, 0.045, 36.465, 36.475, 42.177, 42.185, 54.713, 
100000, 10, 100, FCFS, 0.027, 46.071, 46.115, 51.681, 51.705, 52.065, 
100000, 10, 1000, RR, 0.050, 29.899, 29.910, 40.014, 40.019, 46.134, 
